,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,5.0,,,228.40876650810242,,,,,,,,,,,,,,,,,,,,,,,180.0,144.0,144.0,25920.0,36.0
1,,,,,,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41:b'\x9a\x99\x99\x99\x99\x99\xc9?{\x14\xaeG\xe1z\xc4?333333\xc3?\x9a\x99\x99\x99\x99\x99\xc9?\xe1z\x14\xaeG\xe1\xca?R\xb8\x1e\x85\xebQ\xc8?)\\\x8f\xc2\xf5(\xcc?\xa4p=\n\xd7\xa3\xd0?q=\n\xd7\xa3p\xcd?\n\xd7\xa3p=\n\xc7?\xc3\xf5(\\\x8f\xc2\xc5?)\\\x8f\xc2\xf5(\xcc?\xa4p=\n\xd7\xa3\xd0?\x8f\xc2\xf5(\\\x8f\xd2?{\x14\xaeG\xe1z\x02@R\xb8\x1e\x85\xebQ\x11@H\xe1z\x14\xaeG\x0b@\x00\x00\x00\x00\x00\x00\x04@\xa4p=\n\xd7\xa3\x06@\xd7\xa3p=\n\xd7\x03@\xf6(\\\x8f\xc2\xf5\x00@333333\x03@\x85\xebQ\xb8\x1e\x85\x05@333333\xfb?\n\xd7\xa3p=\n\xe7?\xe1z\x14\xaeG\xe1\xf2?ffffff\xfa?ffffff\xfa?=\n\xd7\xa3p=\xfe?=\n\xd7\xa3p=\xfe?\xf6(\\\x8f\xc2\xf5\x00@\xcd\xcc\xcc\xcc\xcc\xcc\x02@H\xe1z\x14\xaeG\xfd?\xf6(\\\x8f\xc2\xf5\xf4?H\xe1z\x14\xaeG\x03@\x14\xaeG\xe1z\x14\x0c@\x14\xaeG\xe1z\x14\x0c@H\xe1z\x14\xaeG\x07@H\xe1z\x14\xaeG\x07@\xaeG\xe1z\x14\xae\x07@)\\\x8f\xc2\xf5(\x08@',41.0,14.252597570419312,22.886351108551025,26.23228645324707,0.5200278759002686,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.1670718744637276,0.0,,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41,0.1670718744637276,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(1): (64:66)len=3,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41,,,,,,,
3,,,,,,,,,,,,,0.000717657740563117,0.16851820252556016,0.0,,0.00014144878864650806,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (96:137)len=42,0.0008591065292096251,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:136)len=40,0.16865965131420665,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(1): (128:130)len=3,0.00014144878864650806,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (96:137)len=42,,,,,,,
4,,,,,,,,,,,,,0.0012988768535123858,0.18863640921080796,0.00013073102340132312,,0.0004420066627384248,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (94:137)len=44,0.0017408835162508107,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:135)len=39,0.18907841587354637,(bd9c66b3-ad3c-4d6d-aa3d-1fa7bc8960a9)_(1): (130:132)len=3,0.0005727376861397479,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (98:137)len=40,,,,,,,
5,,,,,,,,,,,,,0.042937752379790195,0.21336445091132797,0.0004144766584993454,,0.00044462987071027974,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (95:137)len=43,0.04338238225050047,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (96:140)len=45,0.21380908078203825,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(1): (0:2)len=3,0.0008591065292096251,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:136)len=40,,,,,,,
6,,,,,,,,,,,,,0.05512703672247219,0.22248032710290241,0.0002928921450093884,,0.0005727376861397479,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (98:137)len=40,0.055699774408611936,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (96:141)len=46,0.22305306478904216,(bdd640fb-0667-4ad1-ac80-317fa3b1799d)_(1): (32:34)len=3,0.0008656298311491363,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (96:136)len=41,,,,,,,
7,,,,,,"[0.18814433 0.17912371 0.18943299 0.19845361 0.25257732 0.30541237
 0.30541237 0.45618557 0.45618557 0.51804124 0.57989691 0.55025773
 0.54768041 0.54639175 0.52963918 0.57087629 0.61082474 0.46391753
 0.31829897 0.29896907 0.32989691 0.3621134  0.42139175 0.42139175
 0.42268041 0.42654639 0.43041237 0.51159794 0.59278351 0.58505155
 0.57731959 0.59407216 0.61082474 0.64304124 0.625      0.60695876
 0.52835052 0.45103093 0.41237113 0.37371134 0.35180412]:b'\xf8\xe2\xea\x07\x1d\x15\xc8?gy\x12\x99\x86\xed\xc6?\xe8\xa8\xc0\x17W?\xc8?z\x12\x99\x86\xedf\xc9?\xf0\xc5\xd5\x0f:*\xd0?\xac\x1ftT\xe0\x8b\xd3?\xac\x1ftT\xe0\x8b\xd3?\x0e\xdb\xcd\xf2$2\xdd?\x0e\xdb\xcd\xf2$2\xdd?\xc84l7\xcb\x93\xe0?\x0b|q\xf5\x83\x8e\xe2?\xe5Id\x1a\xb6\x9b\xe1?\xeefy\x12\x99\x86\xe1?r\xf5\x83\x8e\n|\xe1?%2\r\xdb\xcd\xf2\xe0?\xa6a\xbbY\x9eD\xe2?\xac\x1ftT\xe0\x8b\xe3?\xde,O""\xd3\xb0\xdd?\\\xfd\xa0\xa3\x02_\xd4?\xd3\xb0\xdd,O""\xd3?\x15\xf8\xe2\xea\x07\x1d\xd5?O""\xd3\xb0\xdd,\xd7?\xe3\xea\x07\x1d\x15\xf8\xda?\xe3\xea\x07\x1d\x15\xf8\xda?\xdb\xcd\xf2$2\r\xdb?\xc4v\xb3<\x89L\xdb?\xab\x1ftT\xe0\x8b\xdb?\\\xfd\xa0\xa3\x02_\xe0?\xe3\xea\x07\x1d\x15\xf8\xe2?\xfbAG\x05\xbe\xb8\xe2?\x12\x99\x86\xedfy\xe2?`\\\xfd\xa0\xa3\x02\xe3?\xac\x1ftT\xe0\x8b\xe3?\xc94l7\xcb\x93\xe4?\x00\x00\x00\x00\x00\x00\xe4?8\xcb\x93\xc84l\xe3?\xa9\xc0\x17W?\xe8\xe0?-O""\xd3\xb0\xdd\xdc?\x1b\xb6\x9b\xe5Id\xda?\x08\x1d\x15\xf8\xe2\xea\xd7?\x8f\n|q\xf5\x83\xd6?'",41.0,13.854076385498047,25.656086683273315,30.715755939483643,0.5334441661834717,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.0,0.10301330992479588,0.0,,0.0,(39118497-3a43-42ba-af0f-06cbcb9bc326)_(2): (97:137)len=41,0.0,(39118497-3a43-42ba-af0f-06cbcb9bc326)_(2): (97:137)len=41,0.10301330992479588,(287d06ca-6f4c-469a-ab22-d3081c8eaee9)_(2): (85:87)len=3,0.0,(39118497-3a43-42ba-af0f-06cbcb9bc326)_(2): (97:137)len=41,,,,,,,
9,,,,,,,,,,,,,0.0015854424342148774,0.10426382972946821,0.0,,0.0008486927318790491,(39118497-3a43-42ba-af0f-06cbcb9bc326)_(2): (96:137)len=42,0.0024341351660939264,(39118497-3a43-42ba-af0f-06cbcb9bc326)_(2): (97:136)len=40,0.10511252246134727,(451b4cf3-6123-4df7-a656-af7229d4beef)_(1): (61:63)len=3,0.0008486927318790491,(39118497-3a43-42ba-af0f-06cbcb9bc326)_(2): (96:137)len=42,,,,,,,
