,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,5.0,,,304.5099992752075,,,,,,,,,,,,,,,,,,,,,,,78.0,288.0,288.0,22228.0,18.0
1,,,,,,"(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:275)len=82:b',\x00\x00\x00\x00\x00\x00\x00\'\x00\x00\x00\x00\x00\x00\x00#\x00\x00\x00\x00\x00\x00\x000\x00\x00\x00\x00\x00\x00\x00)\x00\x00\x00\x00\x00\x00\x00)\x00\x00\x00\x00\x00\x00\x00 \x00\x00\x00\x00\x00\x00\x00)\x00\x00\x00\x00\x00\x00\x00)\x00\x00\x00\x00\x00\x00\x00$\x00\x00\x00\x00\x00\x00\x00\x1a\x00\x00\x00\x00\x00\x00\x00#\x00\x00\x00\x00\x00\x00\x00%\x00\x00\x00\x00\x00\x00\x00)\x00\x00\x00\x00\x00\x00\x00(\x00\x00\x00\x00\x00\x00\x00\x1d\x00\x00\x00\x00\x00\x00\x00\x1a\x00\x00\x00\x00\x00\x00\x00!\x00\x00\x00\x00\x00\x00\x00""\x00\x00\x00\x00\x00\x00\x00!\x00\x00\x00\x00\x00\x00\x00\x1b\x00\x00\x00\x00\x00\x00\x00\x1c\x00\x00\x00\x00\x00\x00\x00!\x00\x00\x00\x00\x00\x00\x00)\x00\x00\x00\x00\x00\x00\x00!\x00\x00\x00\x00\x00\x00\x00\x1f\x00\x00\x00\x00\x00\x00\x00""\x00\x00\x00\x00\x00\x00\x00%\x00\x00\x00\x00\x00\x00\x00)\x00\x00\x00\x00\x00\x00\x00!\x00\x00\x00\x00\x00\x00\x00,\x00\x00\x00\x00\x00\x00\x00,\x00\x00\x00\x00\x00\x00\x00\x12\x00\x00\x00\x00\x00\x00\x00 \x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\'\x00\x00\x00\x00\x00\x00\x00""\x00\x00\x00\x00\x00\x00\x00\x1a\x00\x00\x00\x00\x00\x00\x00#\x00\x00\x00\x00\x00\x00\x00 \x00\x00\x00\x00\x00\x00\x00\x16\x00\x00\x00\x00\x00\x00\x00\x17\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x18\x00\x00\x00\x00\x00\x00\x00\x19\x00\x00\x00\x00\x00\x00\x00\x1c\x00\x00\x00\x00\x00\x00\x00\x1c\x00\x00\x00\x00\x00\x00\x00\x14\x00\x00\x00\x00\x00\x00\x00\x1d\x00\x00\x00\x00\x00\x00\x00\x16\x00\x00\x00\x00\x00\x00\x00""\x00\x00\x00\x00\x00\x00\x00\x11\x00\x00\x00\x00\x00\x00\x00\x0e\x00\x00\x00\x00\x00\x00\x00\x14\x00\x00\x00\x00\x00\x00\x00\x1b\x00\x00\x00\x00\x00\x00\x00\x17\x00\x00\x00\x00\x00\x00\x00\x18\x00\x00\x00\x00\x00\x00\x00\x12\x00\x00\x00\x00\x00\x00\x00\x12\x00\x00\x00\x00\x00\x00\x00\x1a\x00\x00\x00\x00\x00\x00\x00\x16\x00\x00\x00\x00\x00\x00\x00\x1b\x00\x00\x00\x00\x00\x00\x00\x1c\x00\x00\x00\x00\x00\x00\x00\x15\x00\x00\x00\x00\x00\x00\x00 \x00\x00\x00\x00\x00\x00\x00\x1a\x00\x00\x00\x00\x00\x00\x00\x1a\x00\x00\x00\x00\x00\x00\x000\x00\x00\x00\x00\x00\x00\x00\'\x00\x00\x00\x00\x00\x00\x00\x1f\x00\x00\x00\x00\x00\x00\x00""\x00\x00\x00\x00\x00\x00\x00\x1c\x00\x00\x00\x00\x00\x00\x00#\x00\x00\x00\x00\x00\x00\x00\x1f\x00\x00\x00\x00\x00\x00\x00\x1c\x00\x00\x00\x00\x00\x00\x00\x1c\x00\x00\x00\x00\x00\x00\x00\x1b\x00\x00\x00\x00\x00\x00\x00,\x00\x00\x00\x00\x00\x00\x00*\x00\x00\x00\x00\x00\x00\x00\x1f\x00\x00\x00\x00\x00\x00\x00$\x00\x00\x00\x00\x00\x00\x00!\x00\x00\x00\x00\x00\x00\x00'",82.0,29.342644453048706,42.98384881019592,39.14685535430908,0.8871748447418213,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.06427066947098314,0.0,,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:275)len=82,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:275)len=82,0.06427066947098314,(e2acf72f-9e57-4f7a-a0ee-89aed453dd32)_(2): (178:180)len=3,0.0,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:275)len=82,,,,,,,
3,,,,,,,,,,,,,2.6093538391001522e-06,0.06479445041855429,2.6093538391001522e-06,,0.0008623894730070335,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:277)len=84,0.0008649988268461336,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:276)len=83,0.06565683989156132,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (172:174)len=3,0.0008649988268461336,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:276)len=83,,,,,,,
4,,,,,,,,,,,,,0.0017458693397803945,0.06612766815390556,0.0017458693397803945,,0.0008649988268461336,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:276)len=83,0.0026108681666265282,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:274)len=81,0.0669926669807517,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (137:139)len=3,0.0026108681666265282,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:274)len=81,,,,,,,
5,,,,,,,,,,,,,0.017040120489255472,0.06482478393979381,0.0017405787777510099,,0.0026108681666265282,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (194:274)len=81,0.019650988655882,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (190:279)len=90,0.06743565210642034,(28f49481-a0a0-4dc4-a720-9bdf1c11f735)_(5): (173:175)len=3,0.004351446944377538,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (195:275)len=81,,,,,,,
6,,,,,,,,,,,,,0.019452265225201507,0.0636418886254944,5.9198952945776e-05,,0.004351446944377538,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (195:275)len=81,0.023803712169579046,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (190:280)len=91,0.06799333556987194,(451b4cf3-6123-4df7-a656-af7229d4beef)_(3): (93:95)len=3,0.004410645897323314,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (195:277)len=83,,,,,,,
7,,,,,,"[0.51111111 0.42222222 0.48888889 0.34444444 0.4        0.4
 0.28888889 0.34444444 0.48888889 0.35555556 0.4        0.54444444
 0.4        0.42222222 0.28888889 0.44444444 0.25555556 0.4
 0.3        0.46666667 0.4        0.32222222 0.25555556 0.2
 0.26666667 0.43333333 0.28888889 0.3        0.42222222 0.32222222
 0.31111111 0.24444444 0.33333333 0.36666667 0.34444444 0.36666667
 0.42222222 0.23333333 0.32222222 0.33333333 0.26666667 0.42222222
 0.41111111 0.43333333 0.27777778 0.51111111 0.53333333 0.33333333
 0.41111111 0.26666667 0.32222222 0.43333333 0.47777778 0.46666667
 0.37777778 0.42222222 0.36666667 0.48888889 0.51111111 0.44444444
 0.38888889 0.33333333 0.26666667 0.51111111 0.42222222 0.44444444
 0.42222222 0.4        0.34444444 0.26666667 0.41111111 0.34444444
 0.15555556 0.55555556 0.15555556 0.26666667 0.25555556 0.46666667
 0.33333333 0.4        0.45555556 0.31111111]:b""\xb0\x05[\xb0\x05[\xe0?[\xb0\x05[\xb0\x05\xdb?\x9f\xf4I\x9f\xf4I\xdf?\xb6`\x0b\xb6`\x0b\xd6?\x9a\x99\x99\x99\x99\x99\xd9?\x9a\x99\x99\x99\x99\x99\xd9?\xd2'}\xd2'}\xd2?\xb6`\x0b\xb6`\x0b\xd6?\x9f\xf4I\x9f\xf4I\xdf?\x17l\xc1\x16l\xc1\xd6?\x9a\x99\x99\x99\x99\x99\xd9?\xc1\x16l\xc1\x16l\xe1?\x9a\x99\x99\x99\x99\x99\xd9?[\xb0\x05[\xb0\x05\xdb?\xd2'}\xd2'}\xd2?\x1c\xc7q\x1c\xc7q\xdc?\xb0\x05[\xb0\x05[\xd0?\x9a\x99\x99\x99\x99\x99\xd9?333333\xd3?\xde\xdd\xdd\xdd\xdd\xdd\xdd?\x9a\x99\x99\x99\x99\x99\xd9?\xf5I\x9f\xf4I\x9f\xd4?\xb0\x05[\xb0\x05[\xd0?\x9a\x99\x99\x99\x99\x99\xc9?\x11\x11\x11\x11\x11\x11\xd1?\xbc\xbb\xbb\xbb\xbb\xbb\xdb?\xd2'}\xd2'}\xd2?333333\xd3?[\xb0\x05[\xb0\x05\xdb?\xf5I\x9f\xf4I\x9f\xd4?\x94>\xe9\x93>\xe9\xd3?\x9f\xf4I\x9f\xf4I\xcf?UUUUUU\xd5?wwwwww\xd7?\xb6`\x0b\xb6`\x0b\xd6?wwwwww\xd7?[\xb0\x05[\xb0\x05\xdb?\xde\xdd\xdd\xdd\xdd\xdd\xcd?\xf5I\x9f\xf4I\x9f\xd4?UUUUUU\xd5?\x11\x11\x11\x11\x11\x11\xd1?[\xb0\x05[\xb0\x05\xdb?\xfa\xa4O\xfa\xa4O\xda?\xbc\xbb\xbb\xbb\xbb\xbb\xdb?r\x1c\xc7q\x1c\xc7\xd1?\xb0\x05[\xb0\x05[\xe0?\x11\x11\x11\x11\x11\x11\xe1?UUUUUU\xd5?\xfa\xa4O\xfa\xa4O\xda?\x11\x11\x11\x11\x11\x11\xd1?\xf5I\x9f\xf4I\x9f\xd4?\xbc\xbb\xbb\xbb\xbb\xbb\xdb??\xe9\x93>\xe9\x93\xde?\xde\xdd\xdd\xdd\xdd\xdd\xdd?\xd8\x82-\xd8\x82-\xd8?[\xb0\x05[\xb0\x05\xdb?wwwwww\xd7?\x9f\xf4I\x9f\xf4I\xdf?\xb0\x05[\xb0\x05[\xe0?\x1c\xc7q\x1c\xc7q\xdc?9\x8e\xe38\x8e\xe3\xd8?UUUUUU\xd5?\x11\x11\x11\x11\x11\x11\xd1?\xb0\x05[\xb0\x05[\xe0?[\xb0\x05[\xb0\x05\xdb?\x1c\xc7q\x1c\xc7q\xdc?[\xb0\x05[\xb0\x05\xdb?\x9a\x99\x99\x99\x99\x99\xd9?\xb6`\x0b\xb6`\x0b\xd6?\x11\x11\x11\x11\x11\x11\xd1?\xfa\xa4O\xfa\xa4O\xda?\xb6`\x0b\xb6`\x0b\xd6?\x94>\xe9\x93>\xe9\xc3?r\x1c\xc7q\x1c\xc7\xe1?\x94>\xe9\x93>\xe9\xc3?\x11\x11\x11\x11\x11\x11\xd1?\xb0\x05[\xb0\x05[\xd0?\xde\xdd\xdd\xdd\xdd\xdd\xdd?UUUUUU\xd5?\x9a\x99\x99\x99\x99\x99\xd9?}\xd2'}\xd2'\xdd?\x94>\xe9\x93>\xe9\xd3?""",82.0,28.764604091644287,42.515403032302856,58.2418110370636,0.875432014465332,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.004462855802173191,0.046356714608586654,0.003481229146523851,,0.03825440401264133,(ab9099a4-35a2-40ae-aaf3-05535ec42e08)_(3): (103:218)len=116,0.04271725981481452,(405cacec-8774-49a9-a7d2-1e02ff01cf99)_(5): (86:240)len=155,0.08461111862122798,(759cde66-bacf-43d0-ab1f-9163ce9ff57f)_(2): (175:177)len=3,0.04173563315916518,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (187:269)len=83,,,,,,,
9,,,,,,,,,,,,,0.004458353895886752,0.04674720624200952,0.003519480225347385,,0.03834320233930179,(ab9099a4-35a2-40ae-aaf3-05535ec42e08)_(3): (103:217)len=115,0.04280155623518854,(405cacec-8774-49a9-a7d2-1e02ff01cf99)_(5): (86:239)len=154,0.08509040858131131,(43b7a3a6-9a8d-4a03-a80d-7b71d8f56413)_(2): (174:176)len=3,0.04186268256464917,(f143262f-dc5c-4eed-ada0-365bf89897b9)_(5): (187:268)len=82,,,,,,,
