,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,1.0,,,2.5886542797088623,,,,,,,,,,,,,,,,,,,,,,,23.0,82.0,82.0,1886.0,6.0
1,,,,,,"(1a2a73ed-562b-4f79-a374-59eef50bea63)_(1): (48:68)len=21:b'!9\xdb\xd4\'V\xde\xbf?\x13\'\x18J}\xd0\xbf\xbf\x95\x13\x0e\xf0mi\xbfz\xaa""`\x9d\xb8\xd1?\xcf\x92t\x8b\xc8i\xe1?T%\xa1_!\x14\xe5?\xae\xb3\x08b,\xb5\xe6?\xb7\xac\xeb\xe5\xb1\x85\xe7?h\xf0\x10)z\xbe\xe8?\xc2~x+\x85_\xea?,&\xfcsM\x98\xeb?\xd4p>3\x90\x00\xec?`#\xa4\xc9 r\xee?\xc8/\xcd\xbe<\x0e\xf1?*\xdem\x83\x7fv\xf1?\xec:\xaf\x0c\x05G\xf2?+\xe8\xac\x05\xacK\xf3?\xd4\x01Z\x04\x10\xe8\xf3?\xd0\xa2\xd2\xe3RP\xf4?\xb3\x00\xb78t\x84\xf4?y\xbc\x7f\xe2\xb6\xec\xf4?'",21.0,0.7477755546569824,0.831592321395874,0.9275915622711182,0.20646238327026367,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.04471349773429567,0.0,,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(1): (48:68)len=21,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(1): (48:68)len=21,0.04471349773429567,(371ecd7b-27cd-4130-a722-9389571aa876)_(2): (43:51)len=9,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(1): (48:69)len=22,,,,,,,
3,,,,,,"[0.7615413  0.77669793 0.78175014 0.78175014 0.79185457 0.8070112
 0.8070112  0.81711562 0.83227225 0.84237667 0.8524811  0.86258553
 0.87774216 0.88784659 0.897951   0.897951   0.897951   0.897951
 0.88279437 0.8524811  0.83227225]:b'}\xfd\x0e\xdb\x8b^\xe8?z\xf4\x06\xa0\xb5\xda\xe8?\x9e \x9d\xe0\x18\x04\xe9?\x9e \x9d\xe0\x18\x04\xe9?\x9c\x1a\xedc\xdfV\xe9?\xe1o\xc1&\t\xd3\xe9?\xe1o\xc1&\t\xd3\xe9?\x04\x99\xff\xa8\xcf%\xea?\xda\xaa\x8cg\xf9\xa1\xea?\x90F\x00\xed\xbf\xf4\xea?E\xe2sr\x86G\xeb?\xfe}\xe7\xf7L\x9a\xeb?C\xd3\xbb\xbav\x16\xec?\xfan/@=i\xec?\x18\xe2\xf0\xba\x03\xbc\xec?\x18\xe2\xf0\xba\x03\xbc\xec?\x18\xe2\xf0\xba\x03\xbc\xec?\x18\xe2\xf0\xba\x03\xbc\xec?\xd2\x8c\x1c\xf8\xd9?\xec?E\xe2sr\x86G\xeb?\xda\xaa\x8cg\xf9\xa1\xea?'",21.0,0.5866289138793945,0.7857599258422852,1.0650179386138916,0.24649310111999512,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,9.907904581786748e-05,0.043236234962138034,0.0,,0.0028822181106711825,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (55:75)len=21,0.00298129715648905,(23b8c1e9-3924-46de-aeb1-3b9046685257)_(1): (50:70)len=21,0.046118453072809214,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (73:75)len=3,0.0028822181106711825,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (55:75)len=21,,,,,,,
5,,,,,,"(1a2a73ed-562b-4f79-a374-59eef50bea63)_(1): (26:66)len=41:b'\xb9\x17\xb9#s\x17\xcc\xbf\xb9\x17\xb9#s\x17\xcc\xbf\xde\xfbD3\x89Y\xcf\xbf\x01ph\xa1\xcfM\xd1\xbfQ\x05\xed\x1fU\x1e\xd2\xbf\xa5z\xc3a\x8f\xa7\xab\xbf\xca?\xa7\xde""\x89\xd2?\x18\xed\xaf&hv\xca\xbf\x00\xc9\xcf\xa1gn\xf5\xbf\xfd\x9fh\xc3\x06@\x02\xc03\xe5\x9e\t\xa8\xcb\x04\xc0\x85\xc2\xb1x\xfbM\x05\xc0\x94\x93?\xce\xea3\x05\xc0z\xf0$3(t\x02\xc0\xe3\x81mi\xdaj\x00\xc0\xc1\x9a\x140\xcbh\xff\xbfy%\xc9s}_\xfd\xbfs\xbc\x02\xd1\x93\xf2\xfb\xbf\xf0\x02\x80\xbe\x88Q\xfa\xbf\x00\xc9\xcf\xa1gn\xf5\xbf\x12\x8f\x1f\x85F\x8b\xf0\xbf\x1a\xe1\xedA\x08\xe8\xe6\xbf!9\xdb\xd4\'V\xde\xbf?\x13\'\x18J}\xd0\xbf\xbf\x95\x13\x0e\xf0mi\xbfz\xaa""`\x9d\xb8\xd1?\xcf\x92t\x8b\xc8i\xe1?T%\xa1_!\x14\xe5?\xae\xb3\x08b,\xb5\xe6?\xb7\xac\xeb\xe5\xb1\x85\xe7?h\xf0\x10)z\xbe\xe8?\xc2~x+\x85_\xea?,&\xfcsM\x98\xeb?\xd4p>3\x90\x00\xec?`#\xa4\xc9 r\xee?\xc8/\xcd\xbe<\x0e\xf1?*\xdem\x83\x7fv\xf1?\xec:\xaf\x0c\x05G\xf2?+\xe8\xac\x05\xacK\xf3?\xd4\x01Z\x04\x10\xe8\xf3?\xd0\xa2\xd2\xe3RP\xf4?'",41.0,0.6685717105865479,0.840935230255127,0.9858665466308594,0.261646032333374,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,0.0,0.13233168486910485,0.0,,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(1): (26:66)len=41,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(1): (26:66)len=41,0.13233168486910485,(5be6128e-18c2-4797-a142-ea7d17be3111)_(1): (45:53)len=9,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(1): (26:66)len=41,,,,,,,
7,,,,,,"[0.57966169 0.57460948 0.62007938 0.55440064 0.36746882 0.14011932
 0.06433616 0.06433616 0.06433616 0.10475383 0.23105913 0.2714768
 0.31189449 0.36241661 0.40283431 0.46346084 0.51903516 0.56450506
 0.60997496 0.64534044 0.68070592 0.7160714  0.7615413  0.77669793
 0.78175014 0.78175014 0.79185457 0.8070112  0.8070112  0.81711562
 0.83227225 0.84237667 0.8524811  0.86258553 0.87774216 0.88784659
 0.897951   0.897951   0.897951   0.897951   0.88279437]:b'\xa2\xd5h\xae\x96\x8c\xe2?\xa3\xd8\xc0l3c\xe2?\x07Ks\xb8\xb0\xd7\xe3?^\x86Dh\xa6\xbd\xe1?\x96\x7f\xa5\xef\x9b\x84\xd7?~`\xbe\nn\xef\xc1?\x1cnO\xa4Ux\xb0?\x1cnO\xa4Ux\xb0?\x1cnO\xa4Ux\xb0?j[\xa0\xa7%\xd1\xba?d\x01oyX\x93\xcd?\x05\xbc\x8b=\xe0_\xd1?\x88H\xc4S\x14\xf6\xd3?x\x0c\xe4t\xd51\xd7?\xfc\x98\x1c\x8b\t\xc8\xd9?\xe1\xe4\xe2\xa3W\xa9\xdd?\x1b=\xd0\x9e\xef\x9b\xe0?\x80\xaf\x82\xeal\x10\xe2?\xd6\xfc\xe25\xea\x84\xe3?\xfb\xfb\xb2\xfe\xa0\xa6\xe4?\xb2\x12\xfa\xc6W\xc8\xe5?\xf4[n\x90\x0e\xea\xe6?}\xfd\x0e\xdb\x8b^\xe8?z\xf4\x06\xa0\xb5\xda\xe8?\x9e \x9d\xe0\x18\x04\xe9?\x9e \x9d\xe0\x18\x04\xe9?\x9c\x1a\xedc\xdfV\xe9?\xe1o\xc1&\t\xd3\xe9?\xe1o\xc1&\t\xd3\xe9?\x04\x99\xff\xa8\xcf%\xea?\xda\xaa\x8cg\xf9\xa1\xea?\x90F\x00\xed\xbf\xf4\xea?E\xe2sr\x86G\xeb?\xfe}\xe7\xf7L\x9a\xeb?C\xd3\xbb\xbav\x16\xec?\xfan/@=i\xec?\x18\xe2\xf0\xba\x03\xbc\xec?\x18\xe2\xf0\xba\x03\xbc\xec?\x18\xe2\xf0\xba\x03\xbc\xec?\x18\xe2\xf0\xba\x03\xbc\xec?\xd2\x8c\x1c\xf8\xd9?\xec?'",41.0,0.5504491329193115,0.7696828842163086,0.9868795871734619,0.22616219520568848,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.0027773946899512496,0.0933336236677228,0.0008368964745370678,,0.011764653005185198,(e2acf72f-9e57-4f7a-a0ee-89aed453dd32)_(2): (10:67)len=58,0.014542047695136447,(bd9c66b3-ad3c-4d6d-aa3d-1fa7bc8960a9)_(2): (28:63)len=36,0.105098276672908,(c241330b-01a9-471f-ae8a-774bcf36d58b)_(1): (41:60)len=20,0.012601549479722265,(e2acf72f-9e57-4f7a-a0ee-89aed453dd32)_(2): (25:66)len=42,,,,,,,
9,,,,,,"(1a2a73ed-562b-4f79-a374-59eef50bea63)_(1): (24:79)len=56:b'w\xc2\xa6)]\xd5\xc8\xbf\x18\xed\xaf&hv\xca\xbf\xb9\x17\xb9#s\x17\xcc\xbf\xb9\x17\xb9#s\x17\xcc\xbf\xde\xfbD3\x89Y\xcf\xbf\x01ph\xa1\xcfM\xd1\xbfQ\x05\xed\x1fU\x1e\xd2\xbf\xa5z\xc3a\x8f\xa7\xab\xbf\xca?\xa7\xde""\x89\xd2?\x18\xed\xaf&hv\xca\xbf\x00\xc9\xcf\xa1gn\xf5\xbf\xfd\x9fh\xc3\x06@\x02\xc03\xe5\x9e\t\xa8\xcb\x04\xc0\x85\xc2\xb1x\xfbM\x05\xc0\x94\x93?\xce\xea3\x05\xc0z\xf0$3(t\x02\xc0\xe3\x81mi\xdaj\x00\xc0\xc1\x9a\x140\xcbh\xff\xbfy%\xc9s}_\xfd\xbfs\xbc\x02\xd1\x93\xf2\xfb\xbf\xf0\x02\x80\xbe\x88Q\xfa\xbf\x00\xc9\xcf\xa1gn\xf5\xbf\x12\x8f\x1f\x85F\x8b\xf0\xbf\x1a\xe1\xedA\x08\xe8\xe6\xbf!9\xdb\xd4\'V\xde\xbf?\x13\'\x18J}\xd0\xbf\xbf\x95\x13\x0e\xf0mi\xbfz\xaa""`\x9d\xb8\xd1?\xcf\x92t\x8b\xc8i\xe1?T%\xa1_!\x14\xe5?\xae\xb3\x08b,\xb5\xe6?\xb7\xac\xeb\xe5\xb1\x85\xe7?h\xf0\x10)z\xbe\xe8?\xc2~x+\x85_\xea?,&\xfcsM\x98\xeb?\xd4p>3\x90\x00\xec?`#\xa4\xc9 r\xee?\xc8/\xcd\xbe<\x0e\xf1?*\xdem\x83\x7fv\xf1?\xec:\xaf\x0c\x05G\xf2?+\xe8\xac\x05\xacK\xf3?\xd4\x01Z\x04\x10\xe8\xf3?\xd0\xa2\xd2\xe3RP\xf4?\xb3\x00\xb78t\x84\xf4?y\xbc\x7f\xe2\xb6\xec\xf4?y\xbc\x7f\xe2\xb6\xec\xf4?\xd0\xa2\xd2\xe3RP\xf4?M\xe9O\xd1G\xaf\xf2?\xc8/\xcd\xbe<\x0e\xf1?\xe6b\x04;\x9b\xa1\xed?\xc9\x9e\xb1\xed\xbc&\xe9?\xf3v\x00\x9b\xde\xab\xe4?\'H2\xcc\x85\x01\xe1?\x01\x16\xf9\xf5Cl\xd7?L\xb76\x9e\x19\x8e\xce? o\x03\x88\xcc&\xc3?'",56.0,0.6828780174255371,0.7988579273223877,1.0063674449920654,0.21227145195007324,,,,,,,,,,,,,,,,,,,,
