,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,5.0,,,823.4742324352264,77176.28731179237,,,,,,,,,,,,,,,,,,,,,,600.0,80.0,80.0,48000.0,120.0
1,,,,,,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:68)len=21:b'\xf9\x80@g\xd2\xa6\xbe\xbf\x9b{\x82\xa3h\x8e\xd2\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf',21.0,26.34551692008972,1.0334343910217285,1.0459625720977783,1.0415534973144531,6.947503328323364,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.002701924077577122,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:50)len=3,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:68)len=21,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:68)len=21,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:68)len=21,0.002701924077577122,(0769165f-e746-4cb9-aca9-cf07b1aa0f6a)_(0): (47:67)len=21,,,,,
3,,,,,,,,,,,,,0.0,0.0,0.0,0.0038258081521501887,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:51)len=4,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:67)len=20,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:67)len=20,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:67)len=20,0.0038258081521501887,(4c955f6a-966b-4964-acd6-bdca5876fd09)_(0): (47:67)len=21,,,,,
4,,,,,,,,,,,,,0.0,0.0,0.0,0.0038766050433641395,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:52)len=5,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:69)len=22,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:69)len=22,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:69)len=22,0.0038766050433641395,(cfa701cd-2631-400b-a6d7-94d30db95301)_(0): (47:67)len=21,,,,,
5,,,,,,,,,,,,,0.0002893475875796534,0.0002893475875796534,0.0002893475875796534,0.003991667400994084,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:53)len=6,0.0002893475875796534,(2e183554-cae2-4e66-ae8a-781390e0a95b)_(0): (48:69)len=22,0.0002893475875796534,(2e183554-cae2-4e66-ae8a-781390e0a95b)_(0): (48:69)len=22,0.0002893475875796534,(2e183554-cae2-4e66-ae8a-781390e0a95b)_(0): (48:69)len=22,0.003991667400994084,(aab612c9-415d-474a-a5a6-69814104a8b5)_(0): (46:66)len=21,,,,,
6,,,,,,,,,,,,,0.0002901104834919556,0.0002901104834919556,0.0002901104834919556,0.004051122525841678,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (48:54)len=7,0.0002901104834919556,(2e183554-cae2-4e66-ae8a-781390e0a95b)_(0): (48:68)len=21,0.0002901104834919556,(2e183554-cae2-4e66-ae8a-781390e0a95b)_(0): (48:68)len=21,0.0002901104834919556,(2e183554-cae2-4e66-ae8a-781390e0a95b)_(0): (48:68)len=21,0.004051122525841678,(b379cb1e-e8cd-40cc-a6da-3ca0d2e82f38)_(1): (46:66)len=21,,,,,
7,,,,,,"[0.35986652 0.30186451 0.43098405 0.41686233 0.3826741  0.3276329
 0.28716449 0.23619443 0.17885166 0.11516509 0.10904682 0.13998511
 0.18974655 0.2553588  0.31255122 0.34798854 0.41497712 0.45401138
 0.41611055 0.36920005 0.32389718]:b'o\xea\xdd\x9a\r\x08\xd7?\xa4\xd9i\x81\xbfQ\xd3?M&\x19%>\x95\xdb?\xfdj}S\xdf\xad\xda?\x06e\xb0\x80\xbb}\xd8?S\x00\xa5\xfc\xef\xf7\xd4?\x9c\xe5P/\xe7`\xd2?lK\xeat\x9e;\xce?3\xbfVy\x9c\xe4\xc6?\x8e\xce\x05\x9eu{\xbd?\xb5*\x10\x14~\xea\xbb?\xb8\xde\xf7+\x08\xeb\xc1?\x8d2\xc9s\x9dI\xc8?z]\x1ao\xccW\xd0?\r#\xbd\xd3\xd6\x00\xd4?\x90l\xea\xbcqE\xd6?\x8e\xf45-\xfc\x8e\xda?G\xa2\x88\xba\x85\x0e\xdd?\xd8.l)\x8e\xa1\xda?\xd8\x87\xde=\xf9\xa0\xd7?~\xd6\xbb:\xbb\xba\xd4?'",21.0,25.271663665771484,1.011333703994751,1.0121896266937256,1.0155982971191406,6.828519582748413,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.0,0.0,0.0,0.0033153450515480245,0.004453496031968558,(8d7248e2-951f-48d0-ae84-f058d5a804eb)_(1): (48:69)len=22,0.004453496031968558,(8d7248e2-951f-48d0-ae84-f058d5a804eb)_(1): (48:69)len=22,0.004453496031968558,(8d7248e2-951f-48d0-ae84-f058d5a804eb)_(1): (48:69)len=22,0.004453496031968558,(8d7248e2-951f-48d0-ae84-f058d5a804eb)_(1): (48:69)len=22,0.007768841083516583,(5fb8d16c-2720-497d-a2eb-d6899be578c7)_(1): (49:69)len=21,,,,,
9,,,,,,,,,,,,,0.000276501722323191,0.000276501722323191,0.000276501722323191,0.0030518090855317596,0.005367252155194558,(8d7248e2-951f-48d0-ae84-f058d5a804eb)_(1): (47:69)len=23,0.005643753877517749,(11a72609-5edd-4bbf-a959-76636daa2e68)_(0): (48:68)len=21,0.005643753877517749,(11a72609-5edd-4bbf-a959-76636daa2e68)_(0): (48:68)len=21,0.005643753877517749,(11a72609-5edd-4bbf-a959-76636daa2e68)_(0): (48:68)len=21,0.008419061240726318,(eb6c1016-cee6-44d0-adac-6e8345241ea6)_(0): (49:69)len=21,,,,,
10,,,,,,,,,,,,,0.00010605214944868317,0.00010605214944868317,0.00010605214944868317,0.003085510474301823,0.005608432039804479,(8d7248e2-951f-48d0-ae84-f058d5a804eb)_(1): (48:68)len=21,0.005714484189253162,(8d7248e2-951f-48d0-ae84-f058d5a804eb)_(1): (49:69)len=21,0.005714484189253162,(8d7248e2-951f-48d0-ae84-f058d5a804eb)_(1): (49:69)len=21,0.005714484189253162,(8d7248e2-951f-48d0-ae84-f058d5a804eb)_(1): (49:69)len=21,0.008693942514106302,(a9ba5a27-907b-4e36-a786-48f864de82e6)_(1): (48:68)len=21,,,,,
11,,,,,,,,,,,,,0.000183369535314247,0.000183369535314247,0.000183369535314247,0.004095102048052456,0.005643753877517749,(11a72609-5edd-4bbf-a959-76636daa2e68)_(0): (48:68)len=21,0.005827123412831996,(5fb8d16c-2720-497d-a2eb-d6899be578c7)_(1): (48:68)len=21,0.005827123412831996,(5fb8d16c-2720-497d-a2eb-d6899be578c7)_(1): (48:68)len=21,0.005827123412831996,(5fb8d16c-2720-497d-a2eb-d6899be578c7)_(1): (48:68)len=21,0.009738855925570205,(a9ba5a27-907b-4e36-a786-48f864de82e6)_(1): (49:69)len=21,,,,,
12,,,,,,,,,,,,,0.0002772730005063699,0.0002772730005063699,0.0002772730005063699,0.004119805102711378,0.005714484189253162,(8d7248e2-951f-48d0-ae84-f058d5a804eb)_(1): (49:69)len=21,0.005991757189759532,(7c0e8cd8-8573-4793-a715-b2b9c40c5d91)_(0): (48:67)len=20,0.005991757189759532,(7c0e8cd8-8573-4793-a715-b2b9c40c5d91)_(0): (48:67)len=20,0.005991757189759532,(7c0e8cd8-8573-4793-a715-b2b9c40c5d91)_(0): (48:67)len=20,0.00983428929196454,(ab9099a4-35a2-40ae-aaf3-05535ec42e08)_(1): (48:68)len=21,,,,,
13,,,,,,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (53:66)len=14:b'\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf',14.0,24.248652458190918,1.083996295928955,1.1024839878082275,1.0977473258972168,7.468085289001465,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:74)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (59:72)len=14,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (59:72)len=14,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (59:72)len=14,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (64:77)len=14,,,,,
15,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:75)len=2,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (59:71)len=13,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (59:71)len=13,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (59:71)len=13,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (59:72)len=14,,,,,
16,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:76)len=3,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (59:73)len=15,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (59:73)len=15,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (59:73)len=15,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (51:64)len=14,,,,,
17,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:77)len=4,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (60:73)len=14,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (60:73)len=14,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (60:73)len=14,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (58:71)len=14,,,,,
18,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:78)len=5,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (51:64)len=14,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (51:64)len=14,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (51:64)len=14,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (52:65)len=14,,,,,
19,,,,,,"[0.3276329  0.28716449 0.23619443 0.17885166 0.11516509 0.10904682
 0.13998511 0.18974655 0.2553588  0.31255122 0.34798854 0.41497712
 0.45401138 0.41611055]:b'S\x00\xa5\xfc\xef\xf7\xd4?\x9c\xe5P/\xe7`\xd2?lK\xeat\x9e;\xce?3\xbfVy\x9c\xe4\xc6?\x8e\xce\x05\x9eu{\xbd?\xb5*\x10\x14~\xea\xbb?\xb8\xde\xf7+\x08\xeb\xc1?\x8d2\xc9s\x9dI\xc8?z]\x1ao\xccW\xd0?\r#\xbd\xd3\xd6\x00\xd4?\x90l\xea\xbcqE\xd6?\x8e\xf45-\xfc\x8e\xda?G\xa2\x88\xba\x85\x0e\xdd?\xd8.l)\x8e\xa1\xda?'",14.0,24.45412015914917,0.974839448928833,1.0067336559295654,1.007976770401001,6.858091354370117,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0041360821881572234,(11a72609-5edd-4bbf-a959-76636daa2e68)_(0): (53:66)len=14,0.0041360821881572234,(11a72609-5edd-4bbf-a959-76636daa2e68)_(0): (53:66)len=14,0.0041360821881572234,(11a72609-5edd-4bbf-a959-76636daa2e68)_(0): (53:66)len=14,0.0041360821881572234,(11a72609-5edd-4bbf-a959-76636daa2e68)_(0): (53:66)len=14,0.0041360821881572234,(11a72609-5edd-4bbf-a959-76636daa2e68)_(0): (53:66)len=14,,,,,
21,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.004168197616337767,(8d7248e2-951f-48d0-ae84-f058d5a804eb)_(1): (54:67)len=14,0.004168197616337767,(8d7248e2-951f-48d0-ae84-f058d5a804eb)_(1): (54:67)len=14,0.004168197616337767,(8d7248e2-951f-48d0-ae84-f058d5a804eb)_(1): (54:67)len=14,0.004168197616337767,(8d7248e2-951f-48d0-ae84-f058d5a804eb)_(1): (54:67)len=14,0.004168197616337767,(8d7248e2-951f-48d0-ae84-f058d5a804eb)_(1): (54:67)len=14,,,,,
22,,,,,,,,,,,,,0.0,0.0,0.0,0.00046916631342212075,0.004411627888400166,(11a72609-5edd-4bbf-a959-76636daa2e68)_(0): (53:65)len=13,0.004411627888400166,(11a72609-5edd-4bbf-a959-76636daa2e68)_(0): (53:65)len=13,0.004411627888400166,(11a72609-5edd-4bbf-a959-76636daa2e68)_(0): (53:65)len=13,0.004411627888400166,(11a72609-5edd-4bbf-a959-76636daa2e68)_(0): (53:65)len=13,0.004880794201822287,(7412b293-4729-4739-a14f-f3d719db3ad0)_(0): (53:66)len=14,,,,,
23,,,,,,,,,,,,,0.00011429001306626115,0.00011429001306626115,0.00011429001306626115,0.00040301488296503804,0.004672457976845353,(7412b293-4729-4739-a14f-f3d719db3ad0)_(0): (52:66)len=15,0.0047867479899116145,(118a9d29-2f92-4996-a9f1-95d014822f53)_(1): (54:66)len=13,0.0047867479899116145,(118a9d29-2f92-4996-a9f1-95d014822f53)_(1): (54:66)len=13,0.0047867479899116145,(118a9d29-2f92-4996-a9f1-95d014822f53)_(1): (54:66)len=13,0.005075472859810391,(118a9d29-2f92-4996-a9f1-95d014822f53)_(1): (54:67)len=14,,,,,
24,,,,,,,,,,,,,3.147760724501146e-05,3.147760724501146e-05,3.147760724501146e-05,0.0004901459734171325,0.0047867479899116145,(118a9d29-2f92-4996-a9f1-95d014822f53)_(1): (54:66)len=13,0.004818225597156626,(5be6128e-18c2-4797-a142-ea7d17be3111)_(1): (54:66)len=13,0.004818225597156626,(5be6128e-18c2-4797-a142-ea7d17be3111)_(1): (54:66)len=13,0.004818225597156626,(5be6128e-18c2-4797-a142-ea7d17be3111)_(1): (54:66)len=13,0.005276893963328747,(5be6128e-18c2-4797-a142-ea7d17be3111)_(1): (53:66)len=14,,,,,
25,,,,,,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (53:54)len=2:b'\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf',2.0,18.302249908447266,1.0224506855010986,1.003343105316162,1.0432982444763184,7.466194152832031,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:74)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:74)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:74)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:74)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (77:78)len=2,,,,,
27,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:75)len=2,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:75)len=2,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:75)len=2,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:75)len=2,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (69:70)len=2,,,,,
28,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:76)len=3,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (75:75)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (75:75)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (75:75)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (51:52)len=2,,,,,
29,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:77)len=4,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (76:77)len=2,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (76:77)len=2,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (76:77)len=2,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (66:67)len=2,,,,,
30,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:78)len=5,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (59:59)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (59:59)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (59:59)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (60:61)len=2,,,,,
31,,,,,,[0.3276329  0.28716449]:b'S\x00\xa5\xfc\xef\xf7\xd4?\x9c\xe5P/\xe7`\xd2?',2.0,19.33008646965027,0.9344241619110107,0.9250500202178955,0.9229464530944824,6.923694849014282,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0002468930815774373,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(0): (66:67)len=2,0.0002468930815774373,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(0): (66:67)len=2,0.0002468930815774373,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(0): (66:67)len=2,0.0002468930815774373,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(0): (66:67)len=2,0.0002468930815774373,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(0): (66:67)len=2,,,,,
33,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.00030742285343839104,(cc530e36-addc-4e13-ab3b-4d37560c95ee)_(1): (66:67)len=2,0.00030742285343839104,(cc530e36-addc-4e13-ab3b-4d37560c95ee)_(1): (66:67)len=2,0.00030742285343839104,(cc530e36-addc-4e13-ab3b-4d37560c95ee)_(1): (66:67)len=2,0.00030742285343839104,(cc530e36-addc-4e13-ab3b-4d37560c95ee)_(1): (66:67)len=2,0.00030742285343839104,(cc530e36-addc-4e13-ab3b-4d37560c95ee)_(1): (66:67)len=2,,,,,
34,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.00039696252573684365,(76f2dbfe-cd29-436f-a222-82e174daaebf)_(1): (66:67)len=2,0.00039696252573684365,(76f2dbfe-cd29-436f-a222-82e174daaebf)_(1): (66:67)len=2,0.00039696252573684365,(76f2dbfe-cd29-436f-a222-82e174daaebf)_(1): (66:67)len=2,0.00039696252573684365,(76f2dbfe-cd29-436f-a222-82e174daaebf)_(1): (66:67)len=2,0.00039696252573684365,(76f2dbfe-cd29-436f-a222-82e174daaebf)_(1): (66:67)len=2,,,,,
35,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0004900583974638273,(c71d5e60-1d52-46ab-a7e6-427cbf780e3f)_(1): (48:49)len=2,0.0004900583974638273,(c71d5e60-1d52-46ab-a7e6-427cbf780e3f)_(1): (48:49)len=2,0.0004900583974638273,(c71d5e60-1d52-46ab-a7e6-427cbf780e3f)_(1): (48:49)len=2,0.0004900583974638273,(c71d5e60-1d52-46ab-a7e6-427cbf780e3f)_(1): (48:49)len=2,0.0004900583974638273,(c71d5e60-1d52-46ab-a7e6-427cbf780e3f)_(1): (48:49)len=2,,,,,
36,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0004941689296582563,(766ecb15-474e-4c19-aef9-12766c006f61)_(0): (53:54)len=2,0.0004941689296582563,(766ecb15-474e-4c19-aef9-12766c006f61)_(0): (53:54)len=2,0.0004941689296582563,(766ecb15-474e-4c19-aef9-12766c006f61)_(0): (53:54)len=2,0.0004941689296582563,(766ecb15-474e-4c19-aef9-12766c006f61)_(0): (53:54)len=2,0.0004941689296582563,(766ecb15-474e-4c19-aef9-12766c006f61)_(0): (53:54)len=2,,,,,
37,,,,,,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (53:54)len=2:b'\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf',2.0,18.302249908447266,1.0224506855010986,1.003343105316162,1.0432982444763184,7.466194152832031,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:74)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:74)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:74)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:74)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (77:78)len=2,,,,,
39,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:75)len=2,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:75)len=2,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:75)len=2,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:75)len=2,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (69:70)len=2,,,,,
40,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:76)len=3,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (75:75)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (75:75)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (75:75)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (51:52)len=2,,,,,
41,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:77)len=4,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (76:77)len=2,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (76:77)len=2,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (76:77)len=2,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (66:67)len=2,,,,,
42,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (74:78)len=5,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (59:59)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (59:59)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (59:59)len=1,0.0,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (60:61)len=2,,,,,
43,,,,,,[0.3276329  0.28716449]:b'S\x00\xa5\xfc\xef\xf7\xd4?\x9c\xe5P/\xe7`\xd2?',2.0,19.33008646965027,0.9344241619110107,0.9250500202178955,0.9229464530944824,6.923694849014282,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0002468930815774373,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(0): (66:67)len=2,0.0002468930815774373,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(0): (66:67)len=2,0.0002468930815774373,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(0): (66:67)len=2,0.0002468930815774373,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(0): (66:67)len=2,0.0002468930815774373,(698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a)_(0): (66:67)len=2,,,,,
45,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.00030742285343839104,(cc530e36-addc-4e13-ab3b-4d37560c95ee)_(1): (66:67)len=2,0.00030742285343839104,(cc530e36-addc-4e13-ab3b-4d37560c95ee)_(1): (66:67)len=2,0.00030742285343839104,(cc530e36-addc-4e13-ab3b-4d37560c95ee)_(1): (66:67)len=2,0.00030742285343839104,(cc530e36-addc-4e13-ab3b-4d37560c95ee)_(1): (66:67)len=2,0.00030742285343839104,(cc530e36-addc-4e13-ab3b-4d37560c95ee)_(1): (66:67)len=2,,,,,
46,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.00039696252573684365,(76f2dbfe-cd29-436f-a222-82e174daaebf)_(1): (66:67)len=2,0.00039696252573684365,(76f2dbfe-cd29-436f-a222-82e174daaebf)_(1): (66:67)len=2,0.00039696252573684365,(76f2dbfe-cd29-436f-a222-82e174daaebf)_(1): (66:67)len=2,0.00039696252573684365,(76f2dbfe-cd29-436f-a222-82e174daaebf)_(1): (66:67)len=2,0.00039696252573684365,(76f2dbfe-cd29-436f-a222-82e174daaebf)_(1): (66:67)len=2,,,,,
47,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0004900583974638273,(c71d5e60-1d52-46ab-a7e6-427cbf780e3f)_(1): (48:49)len=2,0.0004900583974638273,(c71d5e60-1d52-46ab-a7e6-427cbf780e3f)_(1): (48:49)len=2,0.0004900583974638273,(c71d5e60-1d52-46ab-a7e6-427cbf780e3f)_(1): (48:49)len=2,0.0004900583974638273,(c71d5e60-1d52-46ab-a7e6-427cbf780e3f)_(1): (48:49)len=2,0.0004900583974638273,(c71d5e60-1d52-46ab-a7e6-427cbf780e3f)_(1): (48:49)len=2,,,,,
48,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0004941689296582563,(766ecb15-474e-4c19-aef9-12766c006f61)_(0): (53:54)len=2,0.0004941689296582563,(766ecb15-474e-4c19-aef9-12766c006f61)_(0): (53:54)len=2,0.0004941689296582563,(766ecb15-474e-4c19-aef9-12766c006f61)_(0): (53:54)len=2,0.0004941689296582563,(766ecb15-474e-4c19-aef9-12766c006f61)_(0): (53:54)len=2,0.0004941689296582563,(766ecb15-474e-4c19-aef9-12766c006f61)_(0): (53:54)len=2,,,,,
49,,,,,,(30cbd755-6232-417a-a507-41818d1fb540)_(0): (53:54)len=2:b'\x84};\x89\x08\xff\xf1\xbf\x84};\x89\x08\xff\xf1\xbf',2.0,18.302249908447266,1.0224506855010986,1.003343105316162,1.0432982444763184,7.466194152832031,,,,,,,,,,,,,,,,,,,
