,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,1.0,,,2.4362542629241943,,,,,,,,,,,,,,,,,,,,,,,20.0,70.0,70.0,1400.0,6.0
1,,,,,,"(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (48:68)len=21:b""\xa3bR2\xef\xa7\xf0\xbfa\xac\xa9\x0b\xfc\x11\xda\xbfx~!I\xe8\xe5\x8e?]h\xae\xd3H\xcb\xe3\xbf'\xb2 \xde\x84,\xfe\xbf'\xb2 \xde\x84,\xfe\xbfx\xecg\xb1\x14\t\xf4\xbfa\xac\xa9\x0b\xfc\x11\xda\xbfx~!I\xe8\xe5\x8e?\xcc\x02\x16\x8eZ\x00\xdc?\xcc\x02\x16\x8eZ\x00\xdc?\x01.L\xcf\x89\xf7\xcc?\x01.L\xcf\x89\xf7\xcc?\xcc\x02\x16\x8eZ\x00\xdc?\xcc\x02\x16\x8eZ\x00\xdc?x~!I\xe8\xe5\x8e?x~!I\xe8\xe5\x8e?x~!I\xe8\xe5\x8e?x~!I\xe8\xe5\x8e?\xcc\x02\x16\x8eZ\x00\xdc?K\xf7B\x1ax\xc2\xe4?""",21.0,0.47183799743652344,0.5026795864105225,0.5282330513000488,0.2140674591064453,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.1635828063902029,0.0,,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (48:68)len=21,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (48:68)len=21,0.1635828063902029,(759cde66-bacf-43d0-ab1f-9163ce9ff57f)_(2): (15:17)len=3,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (48:68)len=21,,,,,,,
3,,,,,,"[0.29301866 0.32522374 0.38963392 0.29301866 0.19640339 0.16419831
 0.22860848 0.32522374 0.421839   0.48624918 0.45404409 0.45404409
 0.421839   0.45404409 0.48624918 0.45404409 0.421839   0.38963392
 0.38963392 0.421839   0.421839  ]:b'\xabI\xb5Q\xd1\xc0\xd2?\x1fA\xb5?w\xd0\xd4?\x89\xd5S\x18\xc3\xef\xd8?\xabI\xb5Q\xd1\xc0\xd2?\xa1\xc6j\x0f\xbf#\xc9?\xb4\x8c-:s\x04\xc5?\x91\x00\xa8\xe4\nC\xcd?\x1fA\xb5?w\xd0\xd4?9\xdbw\x04i\xff\xda?*\xb4A\xdd\xb4\x1e\xdf?\xf4i\xf2\xf0\x0e\x0f\xdd?\xf4i\xf2\xf0\x0e\x0f\xdd?9\xdbw\x04i\xff\xda?\xf4i\xf2\xf0\x0e\x0f\xdd?*\xb4A\xdd\xb4\x1e\xdf?\xf4i\xf2\xf0\x0e\x0f\xdd?9\xdbw\x04i\xff\xda?\x89\xd5S\x18\xc3\xef\xd8?\x89\xd5S\x18\xc3\xef\xd8?9\xdbw\x04i\xff\xda?9\xdbw\x04i\xff\xda?'",21.0,0.397845983505249,0.5006890296936035,0.6518375873565674,0.20121979713439941,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,0.04998939864686125,0.08058397195664274,0.0,,0.041057795618063275,(9a1de644-815e-46d1-ab8f-aa1837f8a88b)_(2): (49:65)len=17,0.09104719426492452,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (14:28)len=15,0.12164176757470602,(759cde66-bacf-43d0-ab1f-9163ce9ff57f)_(2): (15:17)len=3,0.041057795618063275,(9a1de644-815e-46d1-ab8f-aa1837f8a88b)_(2): (49:68)len=20,,,,,,,
5,,,,,,"(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (26:62)len=37:b""x~!I\xe8\xe5\x8e?x~!I\xe8\xe5\x8e?x~!I\xe8\xe5\x8e?,\x81s\xca\xcc\x1a\xc9\xbfx~!I\xe8\xe5\x8e?\x01.L\xcf\x89\xf7\xcc?x~!I\xe8\xe5\x8e?x~!I\xe8\xe5\x8e?\x01.L\xcf\x89\xf7\xcc?,\x81s\xca\xcc\x1a\xc9\xbfx~!I\xe8\xe5\x8e?K\xf7B\x1ax\xc2\xe4?K\xf7B\x1ax\xc2\xe4?K\xf7B\x1ax\xc2\xe4?\x13\x02\x03R\xac\x84\xf4?\x880~\x1a\xf7F\xfb?\x880~\x1a\xf7F\xfb?>x\xed\xd2\x86#\xf1?x~!I\xe8\xe5\x8e?]h\xae\xd3H\xcb\xe3\xbf\xa3bR2\xef\xa7\xf0\xbfx\xecg\xb1\x14\t\xf4\xbf\xa3bR2\xef\xa7\xf0\xbfa\xac\xa9\x0b\xfc\x11\xda\xbfx~!I\xe8\xe5\x8e?]h\xae\xd3H\xcb\xe3\xbf'\xb2 \xde\x84,\xfe\xbf'\xb2 \xde\x84,\xfe\xbfx\xecg\xb1\x14\t\xf4\xbfa\xac\xa9\x0b\xfc\x11\xda\xbfx~!I\xe8\xe5\x8e?\xcc\x02\x16\x8eZ\x00\xdc?\xcc\x02\x16\x8eZ\x00\xdc?\x01.L\xcf\x89\xf7\xcc?\x01.L\xcf\x89\xf7\xcc?\xcc\x02\x16\x8eZ\x00\xdc?\xcc\x02\x16\x8eZ\x00\xdc?""",37.0,0.40335536003112793,0.4954826831817627,0.6443605422973633,0.1927804946899414,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,0.0,0.2218934751795958,0.0,,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (26:61)len=36,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (26:61)len=36,0.2218934751795958,(17fc695a-07a0-4a6e-a822-e8f36c031199)_(1): (4:6)len=3,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (26:61)len=36,,,,,,,
7,,,,,,"[0.45404409 0.48624918 0.45404409 0.45404409 0.45404409 0.45404409
 0.48624918 0.48624918 0.48624918 0.45404409 0.45404409 0.58286444
 0.64727461 0.64727461 0.6794797  0.74388987 0.74388987 0.64727461
 0.48624918 0.38963392 0.29301866 0.26081358 0.29301866 0.32522374
 0.38963392 0.29301866 0.19640339 0.16419831 0.22860848 0.32522374
 0.421839   0.48624918 0.45404409 0.45404409 0.421839   0.45404409
 0.48624918]:b'\xf4i\xf2\xf0\x0e\x0f\xdd?*\xb4A\xdd\xb4\x1e\xdf?\xf4i\xf2\xf0\x0e\x0f\xdd?\xf4i\xf2\xf0\x0e\x0f\xdd?\xf4i\xf2\xf0\x0e\x0f\xdd?\xf4i\xf2\xf0\x0e\x0f\xdd?*\xb4A\xdd\xb4\x1e\xdf?*\xb4A\xdd\xb4\x1e\xdf?*\xb4A\xdd\xb4\x1e\xdf?\xf4i\xf2\xf0\x0e\x0f\xdd?\xf4i\xf2\xf0\x0e\x0f\xdd?e\xc9\x17Q\xd3\xa6\xe2?\xd9\xc0\x17?y\xb6\xe4?\xd9\xc0\x17?y\xb6\xe4?T\x0fg4L\xbe\xe5?K\xac\x05\x1f\xf2\xcd\xe7?K\xac\x05\x1f\xf2\xcd\xe7?\xd9\xc0\x17?y\xb6\xe4?*\xb4A\xdd\xb4\x1e\xdf?\x89\xd5S\x18\xc3\xef\xd8?\xabI\xb5Q\xd1\xc0\xd2?\xaca\xd9m+\xb1\xd0?\xabI\xb5Q\xd1\xc0\xd2?\x1fA\xb5?w\xd0\xd4?\x89\xd5S\x18\xc3\xef\xd8?\xabI\xb5Q\xd1\xc0\xd2?\xa1\xc6j\x0f\xbf#\xc9?\xb4\x8c-:s\x04\xc5?\x91\x00\xa8\xe4\nC\xcd?\x1fA\xb5?w\xd0\xd4?9\xdbw\x04i\xff\xda?*\xb4A\xdd\xb4\x1e\xdf?\xf4i\xf2\xf0\x0e\x0f\xdd?\xf4i\xf2\xf0\x0e\x0f\xdd?9\xdbw\x04i\xff\xda?\xf4i\xf2\xf0\x0e\x0f\xdd?*\xb4A\xdd\xb4\x1e\xdf?'",37.0,0.32407355308532715,0.5297384262084961,0.6888861656188965,0.23089814186096191,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.0003453160577397141,0.13537238201276366,0.0,,0.06405195900256047,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (20:57)len=38,0.06439727506030019,(972a8469-1641-4f82-ab9d-2434e465e150)_(2): (23:64)len=42,0.19942434101532414,(17fc695a-07a0-4a6e-a822-e8f36c031199)_(1): (4:6)len=3,0.06405195900256047,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (29:64)len=36,,,,,,,
9,,,,,,"(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (13:60)len=48:b""\xb3\x83\xa5\x15:j\xf7\xbfx\xecg\xb1\x14\t\xf4\xbf\xa3bR2\xef\xa7\xf0\xbfC^\xe6\xa6\x93\x8d\xea\xbfC^\xe6\xa6\x93\x8d\xea\xbfx\xecg\xb1\x14\t\xf4\xbf]h\xae\xd3H\xcb\xe3\xbf,\x81s\xca\xcc\x1a\xc9\xbf\x01.L\xcf\x89\xf7\xcc?\x01.L\xcf\x89\xf7\xcc?\x01.L\xcf\x89\xf7\xcc?x~!I\xe8\xe5\x8e?\x01.L\xcf\x89\xf7\xcc?x~!I\xe8\xe5\x8e?x~!I\xe8\xe5\x8e?x~!I\xe8\xe5\x8e?,\x81s\xca\xcc\x1a\xc9\xbfx~!I\xe8\xe5\x8e?\x01.L\xcf\x89\xf7\xcc?x~!I\xe8\xe5\x8e?x~!I\xe8\xe5\x8e?\x01.L\xcf\x89\xf7\xcc?,\x81s\xca\xcc\x1a\xc9\xbfx~!I\xe8\xe5\x8e?K\xf7B\x1ax\xc2\xe4?K\xf7B\x1ax\xc2\xe4?K\xf7B\x1ax\xc2\xe4?\x13\x02\x03R\xac\x84\xf4?\x880~\x1a\xf7F\xfb?\x880~\x1a\xf7F\xfb?>x\xed\xd2\x86#\xf1?x~!I\xe8\xe5\x8e?]h\xae\xd3H\xcb\xe3\xbf\xa3bR2\xef\xa7\xf0\xbfx\xecg\xb1\x14\t\xf4\xbf\xa3bR2\xef\xa7\xf0\xbfa\xac\xa9\x0b\xfc\x11\xda\xbfx~!I\xe8\xe5\x8e?]h\xae\xd3H\xcb\xe3\xbf'\xb2 \xde\x84,\xfe\xbf'\xb2 \xde\x84,\xfe\xbfx\xecg\xb1\x14\t\xf4\xbfa\xac\xa9\x0b\xfc\x11\xda\xbfx~!I\xe8\xe5\x8e?\xcc\x02\x16\x8eZ\x00\xdc?\xcc\x02\x16\x8eZ\x00\xdc?\x01.L\xcf\x89\xf7\xcc?\x01.L\xcf\x89\xf7\xcc?""",48.0,0.30736732482910156,0.49623632431030273,0.5744879245758057,0.19775819778442383,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,0.0,0.28428115097041495,0.0,,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (13:59)len=47,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (13:60)len=48,0.28428115097041495,(972a8469-1641-4f82-ab9d-2434e465e150)_(2): (67:69)len=3,0.0,(1a2a73ed-562b-4f79-a374-59eef50bea63)_(2): (13:59)len=47,,,,,,,
